classification_type,glcm_feature,additional_feature,C,max_iter,penalty,solver,max_no_of_rois
cancer_invasion,dissimilarity,,0.0001,100,l1,saga,10
cancer_stage,dissimilarity,,1.623776739,500,l1,saga,10
early_vs_late_stage,dissimilarity,,0.0001,100,l1,saga,10
ptc_vs_mibc,dissimilarity,,0.615848211,100,l1,saga,10
cancer_invasion,correlation,,4.281332399,100,l1,saga,10
cancer_stage,correlation,,0.088586679,1000,l2,saga,10
early_vs_late_stage,correlation,,0.0001,100,l1,saga,10
ptc_vs_mibc,correlation,,11.28837892,1000,l1,saga,10
cancer_invasion,energy,,0.0001,100,l1,saga,10
cancer_stage,energy,,10000,500,l1,liblinear,10
early_vs_late_stage,energy,,0.0001,100,l1,saga,10
ptc_vs_mibc,energy,,0.033598183,100,l2,lbfgs,10
cancer_invasion,homogeneity,,0.0001,100,l1,saga,10
cancer_stage,homogeneity,,1.623776739,1000,l2,saga,10
early_vs_late_stage,homogeneity,,0.0001,100,l1,saga,10
ptc_vs_mibc,homogeneity,,4.281332399,500,l1,saga,10
cancer_invasion,contrast,,0.0001,100,l1,saga,10
cancer_stage,contrast,,1438.449888,500,l2,lbfgs,10
early_vs_late_stage,contrast,,0.0001,100,l1,saga,10
ptc_vs_mibc,contrast,,11.28837892,1500,l1,saga,10
cancer_invasion,dissimilarity,,0.0001,100,l1,saga,20
cancer_stage,dissimilarity,,1.623776739,500,l1,saga,20
early_vs_late_stage,dissimilarity,,0.0001,100,l1,saga,20
ptc_vs_mibc,dissimilarity,,0.615848211,100,l1,saga,20
cancer_invasion,correlation,,4.281332399,100,l1,saga,20
cancer_stage,correlation,,0.088586679,1000,l2,saga,20
early_vs_late_stage,correlation,,0.0001,100,l1,saga,20
ptc_vs_mibc,correlation,,11.28837892,1000,l1,saga,20
cancer_invasion,energy,,0.0001,100,l1,saga,20
cancer_stage,energy,,10000,500,l1,liblinear,20
early_vs_late_stage,energy,,0.0001,100,l1,saga,20
ptc_vs_mibc,energy,,0.033598183,100,l2,lbfgs,20
cancer_invasion,homogeneity,,0.0001,100,l1,saga,20
cancer_stage,homogeneity,,1.623776739,1000,l2,saga,20
early_vs_late_stage,homogeneity,,0.0001,100,l1,saga,20
ptc_vs_mibc,homogeneity,,4.281332399,500,l1,saga,20
cancer_invasion,contrast,,0.0001,100,l1,saga,20
cancer_stage,contrast,,1438.44988828766,500,l2,lbfgs,20
early_vs_late_stage,contrast,,0.0001,100,l1,saga,20
ptc_vs_mibc,contrast,,11.288378916846883,1500,l1,saga,20
cancer_invasion,dissimilarity,,0.0001,100,l1,saga,30
cancer_stage,dissimilarity,,1.623776739188721,500,l1,saga,30
early_vs_late_stage,dissimilarity,,0.0001,100,l1,saga,30
ptc_vs_mibc,dissimilarity,,0.615848211066026,100,l1,saga,30
cancer_invasion,correlation,,4.281332398719396,100,l1,saga,30
cancer_stage,correlation,,0.08858667904100823,1000,l2,saga,30
early_vs_late_stage,correlation,,0.0001,100,l1,saga,30
ptc_vs_mibc,correlation,,11.288378916846883,1000,l1,saga,30
cancer_invasion,energy,,0.0001,100,l1,saga,30
cancer_stage,energy,,10000.0,500,l1,liblinear,30
early_vs_late_stage,energy,,0.0001,100,l1,saga,30
ptc_vs_mibc,energy,,0.03359818286283781,100,l2,lbfgs,30
cancer_invasion,homogeneity,,0.0001,100,l1,saga,30
cancer_stage,homogeneity,,1.623776739188721,1000,l2,saga,30
early_vs_late_stage,homogeneity,,0.0001,100,l1,saga,30
ptc_vs_mibc,homogeneity,,4.281332398719396,500,l1,saga,30
cancer_invasion,contrast,,0.0001,100,l1,saga,30
cancer_stage,contrast,,1438.44988828766,500,l2,lbfgs,30
early_vs_late_stage,contrast,,0.0001,100,l1,saga,30
ptc_vs_mibc,contrast,,11.288378916846883,1500,l1,saga,30
cancer_invasion,dissimilarity,,0.0001,100,l1,saga,40
cancer_stage,dissimilarity,,1.623776739188721,500,l1,saga,40
early_vs_late_stage,dissimilarity,,0.0001,100,l1,saga,40
ptc_vs_mibc,dissimilarity,,0.615848211066026,100,l1,saga,40
cancer_invasion,correlation,,4.281332398719396,100,l1,saga,40
cancer_stage,correlation,,0.08858667904100823,1000,l2,saga,40
early_vs_late_stage,correlation,,0.0001,100,l1,saga,40
ptc_vs_mibc,correlation,,11.288378916846883,1000,l1,saga,40
cancer_invasion,energy,,0.0001,100,l1,saga,40
cancer_stage,energy,,10000.0,500,l1,liblinear,40
early_vs_late_stage,energy,,0.0001,100,l1,saga,40
ptc_vs_mibc,energy,,0.03359818286283781,100,l2,lbfgs,40
cancer_invasion,homogeneity,,0.0001,100,l1,saga,40
cancer_stage,homogeneity,,1.623776739188721,1000,l2,saga,40
early_vs_late_stage,homogeneity,,0.0001,100,l1,saga,40
ptc_vs_mibc,homogeneity,,4.281332398719396,500,l1,saga,40
cancer_invasion,contrast,,0.0001,100,l1,saga,40
cancer_stage,contrast,,1438.44988828766,500,l2,lbfgs,40
early_vs_late_stage,contrast,,0.0001,100,l1,saga,40
ptc_vs_mibc,contrast,,11.288378916846883,1500,l1,saga,40
cancer_invasion,dissimilarity,,0.0001,100,l1,saga,50
cancer_stage,dissimilarity,,1.623776739188721,500,l1,saga,50
early_vs_late_stage,dissimilarity,,0.0001,100,l1,saga,50
ptc_vs_mibc,dissimilarity,,0.615848211066026,100,l1,saga,50
cancer_invasion,correlation,,4.281332398719396,100,l1,saga,50
cancer_stage,correlation,,0.08858667904100823,1000,l2,saga,50
early_vs_late_stage,correlation,,0.0001,100,l1,saga,50
ptc_vs_mibc,correlation,,11.288378916846883,1000,l1,saga,50
cancer_invasion,energy,,0.0001,100,l1,saga,50
cancer_stage,energy,,10000.0,500,l1,liblinear,50
early_vs_late_stage,energy,,0.0001,100,l1,saga,50
ptc_vs_mibc,energy,,0.03359818286283781,100,l2,lbfgs,50
cancer_invasion,homogeneity,,0.0001,100,l1,saga,50
cancer_stage,homogeneity,,1.623776739188721,1000,l2,saga,50
early_vs_late_stage,homogeneity,,0.0001,100,l1,saga,50
ptc_vs_mibc,homogeneity,,4.281332398719396,500,l1,saga,50
cancer_invasion,contrast,,0.0001,100,l1,saga,50
cancer_stage,contrast,,1438.44988828766,500,l2,lbfgs,50
early_vs_late_stage,contrast,,0.0001,100,l1,saga,50
ptc_vs_mibc,contrast,,11.288378916846883,1500,l1,saga,50
